PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType,CPCClassifications,IPCRClassifications,USClassifications
US2013-0284424A1,US,31/10/2013,2013,25/01/2013,HALLIBURTON ENERGY SERV INC,VICK JR JAMES DAN;;WILLIAMSON JIMMIE ROBERT;;THURMAN ROBERT LESTER;;BAYH III RUSSELL IRVING,,,Patent Application,E21B21/103;;E21B34/06;;E21B2200/01;;E21B34/06;;E21B21/103;;E21B2200/01,E21B34/06,166/192
US2008-0029306A1,US,07/02/2008,2008,28/06/2007,BAKER HUGHES INC,KRUEGER SVEN;;BRUNS JENS U,,BAKER HUGHES INCORPORATED (2007-07-02),Patent Application,E21B21/103;;E21B33/06;;E21B34/06;;E21B21/103;;E21B33/06;;E21B21/103;;E21B33/06;;E21B34/06;;E21B34/06,E21B17/18;;E21B21/08,175/210;;175/48
US5273112A,US,28/12/1993,1993,18/12/1992,HALLIBURTON CO,SCHULTZ ROGER L,,HALLIBURTON COMPANY (1993-02-04),Granted Patent,E21B34/16;;E21B34/16,E21B34/16,166/374;;166/250
US2010-0147403A1,US,17/06/2010,2010,08/12/2009,PARKER HANNIFIN CORP,BRESNAHAN KEVIN L,,PARKER INTANGIBLES LLC (2018-04-05);;PARKER HANNIFIN CORPORATION (2010-01-21),Patent Application,F15B13/028;;Y10T137/7904;;Y10T137/2567;;Y10T137/2594;;Y10T137/7904;;Y10T137/2567;;Y10T137/2594;;F15B13/028,F16K15/00,137/528
US2013-0015385A1,US,17/01/2013,2013,14/07/2011,NAT OILWELL VARCO LP;;MARICA ADRIAN,MARICA ADRIAN,,NATIONAL OILWELL VARCO L.P (2011-07-18),Patent Application,F16K3/262;;F04B39/1013;;F04B39/1013;;F04B47/00;;F04B47/00;;F04B53/10;;F04B53/10;;F04B53/129;;F04B53/129;;F16K15/026;;F16K15/026;;F16K47/00;;F16K47/00;;Y10T137/7904;;Y10T137/7904;;Y10T137/7915;;Y10T137/7915,F16K1/00,251/321;;251/318
US5058012A,US,15/10/1991,1991,05/11/1990,MARATHON OIL CO,HINCHMAN STEVEN B;;BRICKEY RAYMOND T;;HEYMANS MICHAEL J,,,Granted Patent,E21B49/00;;E21B49/00,E21B49/00,364/420;;73/153
US5273112A,US,28/12/1993,1993,18/12/1992,HALLIBURTON CO,SCHULTZ ROGER L,,HALLIBURTON COMPANY (1993-02-04),Granted Patent,E21B34/16;;E21B34/16,E21B34/16,166/374;;166/250
US2009-0242035A1,US,01/10/2009,2009,19/03/2009,ZECK MARK,ZECK MARK,,LINC ENERGY SYSTEMS INC (2015-06-29);;ZECK FAMILY LLC (2009-11-17);;SENTRY EQUIPMENT CORP (2010-11-01);;ZECK SYSTEMS MANAGEMENT LLC (2010-06-28),Patent Application,F17D3/12;;G05D11/132;;Y10T137/0329;;Y10T137/0329;;Y10T137/0363;;Y10T137/0363;;Y10T137/2514;;Y10T137/2514;;Y10T137/2529;;Y10T137/2529;;Y10T137/2531;;Y10T137/2531;;Y10T137/8158;;Y10T137/8158;;Y10T137/87676;;Y10T137/87676;;Y10T137/87684;;Y10T137/87684;;Y10T137/87692;;Y10T137/87692,G05D11/13,137/3;;137/101.19
US2011-0229345A1,US,22/09/2011,2011,18/09/2008,NANUBHAI AMIN MARG INDSUTRIAL AREA P O,KONNUR MADHAV SHRINIVAS,,NANUBHAI AMIN RAHUL (2010-01-29),Patent Application,E03B5/00;;F04D9/001;;F04D15/0005;;F04D15/0077;;Y10T137/2849;;Y10T137/2849;;E03B5/00;;F04D9/001;;F04D15/0005;;F04D15/0077;;F04D9/007;;F04F10/00,F04B49/00;;F04B49/06,417/53;;417/279
US2015-0041125A1,US,12/02/2015,2015,28/09/2012,LINC ENERGY LTD,PERKINS GREG MARTIN PARRY;;BURGER CASPER JAN HENDRIK;;CHANDRA AMAN PRUKASH,,LINC ENERGY LTD (2014-05-26),Patent Application,C10J3/22;;E21B43/295;;E21B43/295;;E21B17/00;;E21B43/08;;E21B43/08;;E21B43/084;;E21B43/086;;E21B43/086;;E21B43/10;;E21B43/243;;E21B43/243,E21B43/295;;E21B17/00,166/260;;166/57
US2015-0285065A1,US,08/10/2015,2015,18/12/2013,HOWELL DAVID A;;MORROW TIMOTHY I;;DISKO MARK M;;DEFFENBAUGH MAX,HOWELL DAVID A;;MORROW TIMOTHY I;;DISKO MARK M;;DEFFENBAUGH MAX,,EXXONMOBIL UPSTREAM RESEARCH COMPANY (2014-01-15),Patent Application,E21B47/16;;E21B47/16;;E21B47/005;;E21B47/005;;E21B47/017;;E21B47/017,E21B47/16,
US3422853A,US,21/01/1969,1969,23/10/1965,ZURN IND INC,SCHMID JOHN H,,,Granted Patent,F16L55/053;;F16L55/053,F16L55/053,138/30
US3159182A,US,01/12/1964,1964,11/09/1963,PETERS MELVILLE F,PETERS MELVILLE F,,,Granted Patent,F16J3/048,F16J3/04,
US4501330A,US,26/02/1985,1985,03/02/1984,EXXON PRODUCTION RESEARCH CO,GARCIA JUAN A,,EXXON PRODUCTION RESEARCH COMPANY A CORP OF DE (1984-01-27),Granted Patent,E21B33/14;;E21B17/06;;E21B43/10;;E21B43/119;;E21B43/1195,E21B17/06;;E21B33/14;;E21B43/10;;E21B43/119,166/297;;166/285
US6120689A,US,19/09/2000,2000,08/04/1998,ZENON ENVIRONMENTAL INC,TONELLI ANTHONY A;;DEUTSCHMANN AKE;;WESNO SUSAN L,,ZENON ENVIRONMENTAL INC (1999-03-31),Granted Patent,B01D61/022;;B01D61/04;;B01D61/12;;B01D2311/04;;C02F1/441,B01D61/02;;B01D61/04;;B01D61/12;;C02F1/44,210/652;;210/641;;210/85;;210/96.2;;210/740;;210/746;;210/180;;95/51;;95/638;;95/639
US5289881A,US,01/03/1994,1994,01/04/1991,SCHUH FRANK J,SCHUH FRANK J,,FRANK J. SCHUH INC (2007-05-22),Granted Patent,E21B36/006;;E21B43/122;;E21B43/24;;E21B43/122;;E21B36/006;;E21B43/24,E21B36/00;;E21B43/12;;E21B43/24,166/303;;166/50
US4245702A,US,20/01/1981,1981,07/05/1979,SHELL INT RESEARCH,HAAFKENS RUDOLF;;LUQUE RAFAEL F;;DE VRIES WILLEM,,SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ B.V (1979-04-20),Granted Patent,C09K8/62;;C09K8/62;;C09K8/72;;C09K8/72;;E21B43/26;;E21B43/26,C09K8/62;;C09K8/72;;E21B43/26,166/307
US2011-0171049A1,US,14/07/2011,2011,11/01/2010,BAKER HUGHES INC,WONITOY KELVIN M,,BAKER HUGHES INCORPORATED (2010-01-11),Patent Application,F04B47/08;;F04B47/08,F04B17/00,417/405;;417/375
US9482081B2,US,01/11/2016,2016,23/08/2010,PIMENOV VYACHESLAV PAVLOVICH;;KLEMIN DENIS VLADIMIROVICH;;SCHLUMBERGER TECHNOLOGY CORP,PIMENOV VYACHESLAV PAVLOVICH;;KLEMIN DENIS VLADIMIROVICH,,SCHLUMBERGER TECHNOLOGY CORPORATION (2013-02-12),Granted Patent,E21B43/24;;E21B47/07;;E21B43/24;;E21B47/07;;E21B43/2406,E21B43/24;;E21B47/06,
US5992522A,US,30/11/1999,1999,15/09/1997,STEELHEAD RECLAMATION LTD,BOYD JOHN WESLEY;;JORGENSEN JOHN BALSLEV;;MAXWELL VICTOR FREEMAN,,TRICAN WELL SERVICE LTD (2007-04-30);;STEELHEAD RECLAMATION LTD (1997-11-07),Granted Patent,E21B33/13;;E21B33/134;;E21B33/14;;E21B33/14;;E21B33/134;;E21B33/13,E21B33/13;;E21B33/134;;E21B33/14,166/292;;166/285;;166/294
US7562723B2,US,21/07/2009,2009,04/01/2007,AT BALANCE AMERICAS LLC,REITSMA DONALD G,,ATBALANCE AMERICAS LLC (2006-12-29);;SMITH INTERNATIONAL INC (2012-02-06),Granted Patent,E21B21/08;;E21B21/106;;E21B47/10;;E21B21/08;;E21B47/10;;E21B21/08;;E21B47/10;;E21B21/106,E21B7/00;;E21B21/08;;E21B47/10,175/72;;175/25;;175/38;;175/48;;175/217;;175/218
US5525587A,US,11/06/1996,1996,03/11/1994,ELF AQUITAINE,LADRET ALAIN;;DONCHE ALAIN,,ELF AQUITAINE (1994-02-18),Granted Patent,C09K8/08;;C09K8/206;;C09K8/206;;C09K8/08,C09K8/08;;C09K8/20,507/110
US2016-0341174A1,US,24/11/2016,2016,13/07/2015,LAM WAI HUNG,LAM WAI HUNG,,,Patent Application,F03B13/10;;F03B17/005;;F03B13/08;;F03B13/08;;F03B17/005;;F03G7/04;;F03G7/04;;F05B2210/18;;F05B2210/18;;F05B2220/708;;F05B2220/708;;F05B2240/97;;F05B2240/97;;F05B2260/602;;F05B2260/602;;H02K7/1823;;Y02E10/20;;Y02E10/20;;Y10S415/916;;Y10S415/916,F03B13/10;;F03G7/04;;H02K7/18,
US4809510A,US,07/03/1989,1989,25/02/1987,BAKER CAC,GASPARD PRESTON T;;HOLMES JR LEWIS D;;THEIS JAMES V,,BAKER CAC INC. A CORP. OF LA (1988-04-12),Granted Patent,F03B13/00;;F05B2220/602;;Y02B10/50;;Y10S416/04;;F03B13/00;;Y02B10/50;;F05B2220/602;;Y10S416/04,F03B13/00,60/648;;415/144;;X416DIG 4;;290/52
US2018-0149133A1,US,31/05/2018,2018,09/05/2017,DISPOSAL POWER SYSTEMS INC,HERL DRUE,,DISPOSAL POWER SYSTEMS INC (2017-05-09),Patent Application,F03B13/02;;F03G7/04;;Y02E10/20;;F03B13/02;;Y02E10/20;;E21B43/162;;F03B13/10;;F03B17/061;;F03G7/04;;H02K7/1807,F03B17/06;;E21B43/16;;F03B13/10;;F03G7/04;;H02K7/18,
US5353849A,US,11/10/1994,1994,27/05/1992,CRYOGENIC FUELS INC,SUTTON HAROLD E;;ADKINS ROY E,,,Granted Patent,F17C5/007;;F17C6/00;;F17C7/02;;F17C13/02;;F17C13/021;;F17C13/023;;F17C2205/0376;;F17C2265/065;;F17C2270/0139;;F17C2205/0364;;F17C2205/037;;F17C2221/033;;F17C2223/0161;;F17C2223/033;;F17C2227/0135;;F17C2250/0408;;F17C2250/0443;;F17C2250/0636;;F17C2260/024;;F17C7/02;;F17C6/00;;F17C5/007;;F17C2265/065;;F17C13/023;;F17C2270/0139;;F17C2205/0376;;F17C13/02;;F17C13/021;;F17C2221/033;;F17C2223/033;;F17C2250/0636;;F17C2250/0408;;F17C2205/037;;F17C2260/024;;F17C2227/0135;;F17C2223/0161;;F17C2250/0443;;F17C2205/0364,F17C5/00;;F17C6/00;;F17C7/02;;F17C13/02,141/44;;141/46;;141/59;;141/82;;141/18;;141/387
US6497279B1,US,24/12/2002,2002,22/05/2001,SENSOR HIGHWAY LTD,WILLIAMS GLYNN R;;NEUROTH DAVID H;;DALRYMPLE LARRY V,,SENSOR HIGHWAY LIMITED (2002-10-30),Granted Patent,E21B36/04;;E21B47/103;;E21B36/04;;E21B47/07;;E21B47/07;;E21B47/103;;E21B47/135;;E21B47/135;;G01F1/6884;;G01F1/6884,E21B36/04;;E21B47/06;;E21B47/10;;E21B47/12,166/250.01;;166/60;;166/66;;166/302;;73/152.33;;73/152.13
US4338563A,US,06/07/1982,1982,11/08/1980,ROHRBACK CORP,RHOADES REX V;;GEER JAMES L,,ROHRBACK CORPORATION A CORP. OF CALIF (1980-08-05),Granted Patent,G01N17/00;;G01N27/046;;G01N27/046;;G01N17/00,G01N17/00;;G01N27/04,G1N NBMR          BMR
US3470943A,US,07/10/1969,1969,21/04/1967,HUISEN ALLEN T VAN,HUISEN ALLEN T VAN,,IMPERIAL ENERGY CORPORATION (1982-06-08);;ROSS KENNETH A. JR (1981-08-07),Granted Patent,Y10S203/11;;Y10S203/06;;Y10S203/21;;Y10S159/902;;F24T10/10;;F03G7/04;;F24T10/30;;Y02E10/10;;F24T10/10;;Y10S203/21;;Y10S203/11;;Y10S203/06;;Y10S159/902;;F03G7/04;;Y02E10/10;;F24T10/30,F03G7/04,165/45
US5535632A,US,16/07/1996,1996,24/10/1994,ATLANTIC RICHFIELD CO,KOLPAK MIROSLAV M,,,Granted Patent,G01F15/024;;G01F15/024;;G01F1/74;;G01F1/74;;G01F1/84;;G01F1/84;;G01F15/08;;G01F15/08,G01F1/84;;G01F15/08,73/861.04;;73/200
US6032539A,US,07/03/2000,2000,10/09/1997,ACCUFLOW INC,LIU KE TIEN;;RIEKEN WILLIAM,,ACCUFLOW INC (1998-02-02),Granted Patent,G01F15/08;;G01F1/74,G01F1/74;;G01F15/08,73/861.04
US6044690A,US,04/04/2000,2000,05/05/1998,WILLIAMS; J. TERRELL,WILLIAMS J TERRELL,,J. TERRELL WILLIAMS (2003-06-03),Granted Patent,E21B33/063;;E21B33/063;;E21B33/064;;E21B33/064,E21B33/06;;E21B33/064,73 405R;;73/49.1;;166/250.08
US6032736A,US,07/03/2000,2000,05/05/1998,WILLIAMS; J. TERRELL,WILLIAMS J TERRELL,,J. TERRELL WILLIAMS (2003-06-03),Granted Patent,E21B33/064;;E21B47/117;;E21B33/064;;E21B47/117,E21B33/064;;E21B41/00;;E21B47/10;;G01M3/08,166/250.08;;166/336;;166/337;;73/49.1;;X 73 405 R
US2010-0228399A1,US,09/09/2010,2010,19/04/2010,UDISCHAS RICHARD J;;MUELLER DENIS;;SCHLESER WERNER,UDISCHAS RICHARD J;;MUELLER DENIS;;SCHLESER WERNER,,L'AIR LIQUIDE SOCIETE ANONYME A DIRECTOIRE POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE (2010-05-26);;AMERICAN AIR LIQUIDE INC (2010-05-21),Patent Application,F17C13/04;;F17C13/04;;F17C2201/0104;;F17C2201/0104;;F17C2203/0617;;F17C2203/0617;;F17C2205/0326;;F17C2205/0326;;F17C2205/0329;;F17C2205/0329;;F17C2205/0338;;F17C2205/0338;;F17C2205/0341;;F17C2205/0341;;F17C2205/0391;;F17C2205/0391;;F17C2223/0123;;F17C2223/0123;;F17C2223/0153;;F17C2223/0153;;F17C2223/033;;F17C2223/033;;F17C2223/035;;F17C2223/035;;F17C2223/038;;F17C2223/038;;F17C2223/045;;F17C2223/045;;F17C2250/032;;F17C2250/032;;F17C2250/0626;;F17C2250/0626;;F17C2260/044;;F17C2260/044;;F17C2270/0518;;F17C2270/0518;;Y10T137/87917;;Y10T137/87917,G05D16/02;;G05D7/06;;G05D16/00,700/282;;137/613
US4306447A,US,22/12/1981,1981,06/03/1980,WELLS TOOLS INC,FRANKS JR ROBERT L,,,Granted Patent,E21B33/06;;E21B47/117;;E21B33/06;;E21B47/117,E21B33/06;;E21B47/10,73/46
US9891131B1,US,13/02/2018,2018,16/02/2016,WORX AMERICA INC;;BAY WORX LABORATORIES LLC,ZILAI MICHAEL SHAWN;;CAMP CHARLES HORACE,,WORX AMERICA INC (2015-02-18);;TRINITY BAY WORX LLC (2021-01-29);;BAY WORX RAIL LLC (2016-06-06);;BAY WORX LABORATORIES LLC (2016-06-06),Granted Patent,E21B33/06;;G01M3/02,G01M3/02;;E21B33/06,
US4030354A,US,21/06/1977,1977,27/02/1976,SCOTT KENNETH F,SCOTT KENNETH F,,,Granted Patent,E21B33/06;;E21B47/117;;E21B33/06;;E21B47/117,E21B33/06;;E21B47/10,73/151
US9841343B1,US,12/12/2017,2017,04/11/2016,SAMOCO OIL TOOLS INC,HELLAIL MICHAEL JEREMY;;ALOUDAT MAHAMMAD;;RAMIREZ RANFIS MIGUEL,,SAMOCO OIL TOOLS INC (2016-10-31),Granted Patent,E21B33/06;;E21B33/06;;G01M3/02,G01M3/02;;E21B33/06,
US4347733A,US,07/09/1982,1982,03/10/1980,CRAIN JACK A,CRAIN JACK A,,,Granted Patent,E21B33/06;;E21B47/117;;E21B33/06;;E21B47/117,E21B33/06;;E21B47/10,73 405 R
US8960297B1,US,24/02/2015,2015,23/07/2014,PINSON DAMAN E,PINSON DAMAN E,,,Granted Patent,E21B43/38;;E21B37/00;;E21B37/00;;E21B43/38,E21B37/00,166/311;;166/173;;166/222
US6065541A,US,23/05/2000,2000,13/03/1998,EZI FLOW INTERNATIONAL LIMITED,ALLEN ANTHONY,,WELL-FLOW OIL TOOLS LTD (1998-03-05),Granted Patent,E21B37/00;;E21B37/00;;E21B23/04;;E21B23/04;;E21B23/10;;E21B23/10;;E21B34/14;;E21B34/14;;E21B41/0078;;E21B41/0078,E21B23/04;;E21B23/10;;E21B34/14;;E21B37/00;;E21B41/00,166/318;;166/317;;166/320;;166/312;;166/222;;166/223
US6923871B2,US,02/08/2005,2005,05/05/2003,BJ SERVICES CO,WALKER SCOTT A;;LI JEFF;;WILDE GRAHAM,,BJ SERVICES COMPANY (2001-03-27),Granted Patent,B08B9/0433;;E21B21/00;;E21B37/00;;E21B41/0078;;E21B44/00;;E21B44/00;;E21B21/00;;E21B41/0078;;B08B9/0433;;E21B37/00,B08B9/00;;B08B9/04;;E21B21/00;;E21B37/00;;E21B41/00;;E21B44/00,134/24;;134/18;;134/22.1;;134/22.18;;134/34;;166/311;;166/312;;175/207;;175/215
US2017-0152726A1,US,01/06/2017,2017,01/12/2016,WHITE BEAR WELL CONDITIONING INC,ROSS WILLIAM J,,WHITE BEAR WELL CONDITIONING INC (2015-12-02),Patent Application,E21B37/00;;E21B37/08;;E21B43/16,E21B37/00;;E21B43/16,
US2006-0086507A1,US,27/04/2006,2006,26/10/2004,HALLIBURTON ENERGY SERV INC,SURJAATMADJA JIM B;;ROSINE RANDY S,,HALLIBURTON ENERGY SERVICES INC (2004-10-21),Patent Application,E21B37/00;;E21B37/00,E21B37/08;;E21B43/38,166/312;;166/265;;166/222
US8931558B1,US,13/01/2015,2015,22/03/2012,HARPER TOM M;;FULL FLOW TECHNOLOGIES LLC,HARPER TOM M,,FULL FLOW TECHNOLOGIES LLC (2012-03-22),Granted Patent,B08B9/051;;E21B37/00;;E21B4/02;;B08B9/0558;;B08B9/051;;E21B37/00;;E21B4/02;;B08B9/0558,B08B9/051;;E21B37/00,166/311;;166/223;;15/104.061;;15/104.12;;X134168 C;;X134196 C
US9932798B1,US,03/04/2018,2018,14/12/2015,COIL SOLUTIONS CA,RESENDEZ ESTEBAN,,GLOBAL REMOTE TECHNOLOGIES LLC (2015-10-26);;TERRA RECOVERY SYSTEMS INC (2016-12-30);;COIL SOLUTIONS CA (2017-01-17),Granted Patent,E21B37/00;;E21B37/00;;E21B41/0078;;E21B41/0078,E21B37/00,
US5505262A,US,09/04/1996,1996,16/12/1994,COBB; TIMOTHY A.,COBB TIMOTHY A,,,Granted Patent,E21B7/24;;E21B7/24;;E21B7/18;;E21B7/18;;E21B21/00;;E21B21/00;;E21B28/00;;E21B28/00;;E21B37/00;;E21B37/00;;E21B43/003;;E21B43/003;;Y10T137/2087;;Y10T137/2087,E21B7/18;;E21B7/24;;E21B21/00;;E21B37/00;;E21B43/00,166/312;;134/198;;137/808;;175/323;;175/67;;239/589.1
US7404416B2,US,29/07/2008,2008,25/03/2004,HALLIBURTON ENERGY SERV INC,SCHULTZ ROGER L;;MICHAEL ROBERT K;;DAGENAIS PETE C;;FRIPP MICHAEL L;;TUCKER JAMES C,,HALLIBURTON ENERGY SERVICES INC (2004-06-15),Granted Patent,F15C1/22;;Y10T137/2234;;Y10T137/2234;;F15C1/22,B05B1/08;;E21B37/00;;E21B37/08;;F15C1/22,137/835;;175/67;;239/589.1
US2017-0002627A1,US,05/01/2017,2017,09/06/2014,HALLIBURTON ENERGY SERVICES INC;;HALLIBURTON ENERGY SERVICES INC,GREENING AIMEE KATHLEEN;;HOWARD ROBERT G;;AMBROSI GIUSEPPE,,HALLIBURTON ENERGY SERVICES INC (2014-06-09),Patent Application,E21B28/00;;E21B37/08;;B05B1/08;;B05B1/1663;;E21B37/08;;E21B28/00;;B05B1/08;;B05B1/1663;;E21B34/10;;E21B43/16,E21B34/10;;E21B37/08;;E21B43/16,
US8863835B2,US,21/10/2014,2014,23/08/2011,SCHULTZ ROGER L;;PIPKIN ROBERT;;HUNTER TIM;;HALLIBURTON ENERGY SERV INC,SCHULTZ ROGER L;;PIPKIN ROBERT;;HUNTER TIM,,HALLIBURTON ENERGY SERVICES INC (2011-08-23),Granted Patent,E21B43/12;;E21B43/12;;E21B28/00;;E21B43/003;;E21B47/18,E21B28/00;;E21B34/08;;E21B43/00;;E21B47/18,166/244.1;;166/386
US2013-0138408A1,US,30/05/2013,2013,18/10/2012,LEE SUNWOONG;;BAUMSTEIN ANATOLY,LEE SUNWOONG;;BAUMSTEIN ANATOLY,,,Patent Application,G06F17/16;;G06F17/16;;G06F17/16;;G01V1/28;;G01V1/28;;G01V1/282;;G01V1/282;;G01V1/50;;G01V2210/614;;G01V2210/614;;G01V2210/67;;G01V2210/67;;G01V2210/679;;G01V2210/679,G06F17/10,703/2
US2012-0181020A1,US,19/07/2012,2012,28/03/2012,BARRON ANDREW R;;SKALA ROBERT D;;COKER CHRISTOPHER E;;CHATTERJEE DILIP K;;XIE YUMING;;OXANE MATERIALS INC,BARRON ANDREW R;;SKALA ROBERT D;;COKER CHRISTOPHER E;;CHATTERJEE DILIP K;;XIE YUMING,,HALLIBURTON ENERGY SERVICES INC (2015-07-07),Patent Application,B01J13/02;;B01J13/02;;B82Y30/00;;B82Y30/00;;C09K8/80;;C09K8/80;;C04B35/62807;;C04B35/62807;;C04B35/62823;;C04B35/62823;;C04B35/62839;;C04B35/62839;;C04B35/62842;;C04B35/62842;;C04B35/62894;;C04B35/62894;;C04B2235/3418;;C04B2235/3418;;C04B2235/422;;C04B2235/422;;C04B2235/5288;;C04B2235/5288;;C09K8/805;;C09K8/805;;E21B43/00;;E21B43/00;;E21B43/267;;E21B43/267;;E21B47/00;;E21B47/00;;E21B47/12;;E21B47/12;;E21B49/00;;E21B49/00;;G01V3/24;;G01V3/24;;Y10S507/907;;Y10S507/907;;Y10S507/924;;Y10S507/924;;Y10T428/29;;Y10T428/29;;Y10T428/2991;;Y10T428/2991;;Y10T428/2993;;Y10T428/2993,E21B49/00;;C09K8/80,166/250.1;;507/270;;507/269;;507/219
US2014-0041862A1,US,13/02/2014,2014,29/07/2013,HALLIBURTON ENERGY SERV INC,ERSOZ HALUK VEFA,,HALLIBURTON ENERGY SERVICES INC (2013-07-26),Patent Application,E21B47/00;;E21B47/11;;E21B47/11;;E21B47/113;;E21B47/113;;E21B49/00;;E21B49/00;;G01V3/30;;G01V3/30;;G01V3/26;;G01V3/26,G01V3/30;;E21B47/00,166/250.1;;324/346
US2013-0018585A1,US,17/01/2013,2013,04/06/2012,TECHNOIMAGING LLC;;ZHDANOV MICHAEL S;;WILSON GLENN A;;COX LEIF H,ZHDANOV MICHAEL S;;WILSON GLENN A;;COX LEIF H,,TECHNOIMAGING LLC (2012-05-03),Patent Application,G01S13/89;;G01S13/89;;G01V3/083;;G01V3/083;;G01V3/15;;G01V3/15;;G01V3/16;;G01V3/16,G06F19/00,702/2
US2011-0272147A1,US,10/11/2011,2011,20/05/2011,BEASLEY CRAIG J;;BUSH IAIN,BEASLEY CRAIG J;;BUSH IAIN,,WESTERNGECO L.L.C (2011-06-21),Patent Application,E21B43/26;;E21B49/008;;E21B47/107;;E21B43/26;;E21B49/008;;E21B47/107;;E21B47/06,G01V1/40;;E21B47/12;;G01V3/26;;G01V3/30;;G06F19/00,166/250.1;;702/11;;702/7
US2005-0017723A1,US,27/01/2005,2005,18/06/2004,SCHLUMBERGER TECHNOLOGY CORP I,ENTOV VLADIMIR MORDUKHOVICH;;GORDEEV YURY NIKOLAEVICH;;EVGENY MIKHAILOVICH CHEKHONIN;;THIERCELIN MARC JEAN,,SCHLUMBERGER TECHNOLOGY CORPORATION (2004-06-24),Patent Application,E21B43/26;;G01V3/26;;E21B43/26;;G01V3/26,E21B43/26;;E21B47/00;;G01V3/26,324/346;;166/250.1;;166/308.1
US2010-0250207A1,US,30/09/2010,2010,01/12/2009,HALLIBURTON ENERGY SERV INC,RODNEY PAUL F,,,Patent Application,G01V1/48;;G01V1/48,G01V9/00;;G06G7/50;;G06F17/10;;G06F19/00,703/2;;703/10;;702/9
US2007-0177985A1,US,02/08/2007,2007,20/07/2006,WALLS JAMES C;;CAIN JEFF;;FONG JOHN,WALLS JAMES C;;CAIN JEFF;;FONG JOHN,,ITT MANUFACTURING ENTERPRISES INC (2006-09-07),Patent Application,F04B43/0081;;F04B49/022;;F04B49/06;;F04B49/10;;F04B2205/02;;F04B2205/04,F04B49/06,417/44.2
US2015-0139816A1,US,21/05/2015,2015,19/11/2014,GE OIL & GAS UK LTD,ROBERTS TIMOTHY JAMES,,GE OIL & GAS UK LIMITED (2015-01-05),Patent Application,E21B43/129;;F04B49/06;;F04B49/06;;F15B11/04;;F15B13/02;;F04B17/03;;F04B17/03;;F04B49/08;;F04B49/08;;F04B49/20;;F04B2203/0204;;F04B2203/0204;;F04B2205/05;;F04B2205/05;;F15B11/00;;F15B21/08;;F15B2211/515;;G05D16/00,F04B49/06;;E21B43/12;;F04B17/03;;F04B49/08;;F04B49/20,417/44.2
US2012-0039723A1,US,16/02/2012,2012,09/02/2010,GRESHAM JOEL DYLAN,GRESHAM JOEL DYLAN,,DAVEY WATER PRODUCTS PTY LTD (2011-08-25),Patent Application,F04B49/08;;F04B49/022;;F04B49/065;;F04B2205/05;;F04B49/08;;F04B49/022;;F04B49/065;;F04B2205/05,F04B49/08,417/44.2
US2018-0128265A1,US,10/05/2018,2018,09/11/2016,COLE DERRICK,COLE DERRICK,,,Patent Application,F04B49/02;;F04B23/025;;F04B49/025;;F04B49/025;;F04B49/04;;F04B49/08;;F04B2205/05,F04B49/02;;F04B23/02,
US2015-0068624A1,US,12/03/2015,2015,09/09/2013,SAUDI ARABIAN OIL CO,AL-SHAMMARY EYADAH AL-RUOTHY,,SAUDI ARABIAN OIL COMPANY (2014-03-11),Patent Application,F16K17/02;;F04B47/02;;F04B47/02;;F04B49/02;;F04B49/02;;F04B49/022;;F04B49/022;;F04B49/10;;F04B49/10;;F04B49/22;;F04B49/22;;Y10T137/86002;;Y10T137/86002,F16K17/02,137/565.13
US4744729A,US,17/05/1988,1988,11/09/1986,CONOCO INC,HASTEN JERRY D;;CLARK JAMES R,,CONOCO INC. A CORP. OF DE (1986-09-08),Granted Patent,F04B49/022;;G05D9/12;;F04B49/022;;G05D9/12,F04B49/02;;G05D9/12,417/12;;417/18;;417/44
US2017-0218944A1,US,03/08/2017,2017,12/04/2017,BITZER KUEHLMASCHINENBAU GMBH,SCHMIDT HENRIK THOMSEN;;HILDEBRANDT DIETER;;BEIER ANDRE,,BITZER KUEHLMASCHINENBAU GMBH (2017-08-03),Patent Application,F04B35/04;;F04B49/06;;F04B49/065;;F04C23/02;;F04D25/06;;F04B35/04;;F04B35/04;;F04B35/04;;F04B39/121;;F04B51/00;;F04B2201/0401;;F04B2201/0402;;F04B2201/0404;;F04B2203/0401;;F04B2203/0402;;F04B2203/0405;;F04B2205/02;;F04B2205/04;;F04B2205/10;;F04B2205/11;;F04C23/008;;F04C23/008;;F04C28/28;;F04C28/28;;F04C29/04;;F04C29/04;;F04C2240/30;;F04C2240/30;;F04C2240/403;;F04C2240/403;;F04C2240/803;;F04C2240/803;;F04C2240/808;;F04C2240/808;;F04C2270/80;;F04C2270/80;;F04D25/068;;F04D25/068;;F04D25/0693;;F04D25/0693;;F25B49/022;;H02K5/225;;H02K5/225;;H02K11/20;;H02K11/33;;H02K11/33;;H02K11/35,F04B49/06;;F04B35/04;;F04B39/12;;F04B51/00;;F25B49/02;;H02K5/22;;H02K11/25;;H02K11/26;;H02K11/27;;H02K11/33,
