PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType
CN103899901A,CN,07/02/2014,2014,12/25/2012,SHANGHAI METALLURG & CONTINUOUS CASTING TECHNOLOGIES CO LTD,ZHAO ZHONG,,HONG LIANG;;GONG JIAN;;ZHANG YUDONG;;GU QI;;ZHANG ZHEN,Patent Application
CN203881388U,CN,10/15/2014,2014,04/09/2014,CHINA PETROLEUM & CHEMICAL;;CHINA PETROLEUM & CHEMICAL,WANG ZHENZHONG;;ZHANG WEIHUA;;WU FENGBANG;;WANG JIE;;ZHANG JIANZHONG;;XU GUANG,,ZHANG GUANGHUI;;WANG HAILI,Granted Patent
CN107701263A,CN,2/16/2018,2018,11/02/2017,ANHUI JIANGHUAI AUTOMOBILE GROUP CORP LTD,ZHOU LIEXIN;;ZHOU JIAN;;LIU JUN;;XU PENG;;QIAO PENG;;SHI HUIXING;;YANG HUASONG,,ZHAO WEI;;GUO MAOCHUN;;ZHENG BO,Patent Application
CN202082023U,CN,12/21/2011,2011,5/16/2011,HUNAN XIANGYI POWER TESTING INSTR CO LTD,FUQIANG YUAN,,HANG JIANCHUN;;HU XIAOHUI;;CHEN HONGSHENG;;MA XIN;;ZHANG ZEZHOU;;ZHAO KE,Granted Patent
CN207698473U,CN,08/07/2018,2018,10/13/2017,LIU HAIJUN,LIU HAIJUN,,GUO JINBIAO;;BAO YUJIA;;SUN JUN;;LYU ZHILIN,Granted Patent
CN203373140U,CN,01/01/2014,2014,6/26/2013,CHINA PETROLEUM & CHEMICAL;;SINOPEC FUSHUN RES INST PET,LIU YANG;;GUO BINGBING;;ZHU YUEQUAN;;LIU ZHONGSHENG;;WANG HAIBO;;PIAO YONG;;LIAO CHANGJIAN;;DAI JINLING;;LI JINGWEI,,DUAN LIXIN;;WANG GUOQIANG,Granted Patent
CN105135219A,CN,12/09/2015,2015,9/17/2015,CHENGDU QIANYI INFORMATION TECHNOLOGY CO LTD,MO SHANGYI,,TU ZHILONG;;ZENG JIANXIN;;JIE HAITAO;;ZHANG CHENGWEI;;TU YOUJING;;TU TAOHUI;;PENG YINGJIE;;TU CHUANG,Patent Application
CN201327398Y,CN,10/14/2009,2009,11/21/2008,BEIJING YICHENG M & E EQUIPMEN,FEI WANG,,LIU YALI,Granted Patent
CN107179398A,CN,9/19/2017,2017,6/23/2017,LEADOT INNOVATION TECH CO LTD,XIAO HAITAO;;ZHAO JIE;;LIANG KAI;;HE CHANGGEN;;LIANG SHANGUANG;;WANG JINLAI;;HE LUXIN;;ZENG ZHAO;;BAI DONG;;ZHANG ZHENZHEN,,YUQIANG LI;;BIN LI,Patent Application
CN103700222A,CN,04/02/2014,2014,9/28/2012,PETROCHINA CO LTD,HAN BING;;MA YUNBIN;;HAO JIANBIN;;TAN DONGJIE;;WU ZHANGZHONG;;LI LIANGLIANG;;JING HONGYUAN;;LIU JIANPING,,FAN ZHEZHENG;;TIAN YUNFENG;;REN PENGYU;;TONG LEI;;LI WEILIANG,Patent Application
CN201432943Y,CN,3/31/2010,2010,4/16/2009,ZHEJIANG JIALI TECHNOLOGY CO LTD,ZHIEN HU,,HAIFENG CHEN;;WENBIAO HUANG;;TIANSHI XIAO;;SHUFEN LIU;;QINGGUO ZHANG;;YANG LI,Granted Patent
CN101387542A,CN,3/18/2009,2009,10/31/2008,SPECIAL VEHICLE TECHNOLOGY CT,DONGDONG SUN;;XINYUN WANG;;YONGKAI XIAO;;MINGQI GU,,THE INVENTOR HAS WAIVED THE RIGHT TO BE CITED,Patent Application
CN2441984Y,CN,08/08/2001,2001,7/17/2000,SU GUIBIN,SU GUIBIN,,ZHOU ZIPING;;LI ZHONGXING;;GUO JINMIAO;;FENG JIAN;;LI LUOPING;;CHEN QI,Granted Patent
CN201176863Y,CN,01/07/2009,2009,4/23/2008,XIYU KECHUANG BEIJING OIL EQUI,WEIAN GONG,,FEI HUI;;SONG WANG;;JIANYANG ZHANG;;RUNMIN WANG;;TENG YU;;XIN SHI;;XIANGMU ZHAO,Granted Patent
CN202916956U,CN,05/01/2013,2013,10/10/2012,UNIV CHANGAN,WANG LIHUA;;YE FEI;;XIE CHENJIANG,,XI HONGLI,Granted Patent
CN103104357A,CN,5/15/2013,2013,2/21/2013,CHENGDU HUAQI HOUPU MACHINE ELECTRICITY TECH CO LTD,LUO CHUN;;LI QIANG;;NIE PING;;LEI PAN,,ZHOU JING;;DING JIE;;WU CHENG;;TANG MING;;YAO QIANLI,Patent Application
CN201074511Y,CN,6/18/2008,2008,08/10/2007,CHINA NAT PETROLEUM CORP CNPC,XIUYING ZHU;;SHIHE ZHU;;SONGYUAN JIANG;;NAIJING YANG;;XIAOAN CHEN;;YONGXIA WANG;;YANJU WANG;;NING LU,,CHEN YUEMING,Granted Patent
CN105547697A,CN,05/04/2016,2016,12/08/2015,UNIV SOUTHEAST,JIANG SHUYUN;;XU CHUNDONG,,WEICHENG CHEN;;SHENG CHENG;;YONG CHEN,Patent Application
CN103423125A,CN,12/04/2013,2013,4/17/2012,SUZHOU LAIKA ENERGY ELECTRIC TECHNOLOGY CO LTD,NI CHUNLIN,,ZHANG YANG;;HU XINYUE;;LAN FANG,Patent Application
CN104089918A,CN,10/08/2014,2014,07/03/2014,LOGISTICAL ENG UNIV PLA,JIANG XINSHENG;;WANG DONG;;OU YIHONG;;DU YANG;;QIAN HAIBING;;LIANG JIANJUN;;ZHOU JIANZHONG;;XUE SONG;;ZHOU LINLI,,XU GUANGMING;;SONG HONGBIN;;XU HUI;;XIN WEI;;FU NA;;WANG YU;;GONG LIXIA;;WU HUA;;YANG MENG;;LIU WENJIAN,Patent Application
CN102620954A,CN,08/01/2012,2012,3/31/2012,DALIAN SHIYOU ELECTRIC POWER TECHNOLOGY CO LTD,SHIYOU WANG,,ZHANG HONGXIN;;WEN HUIZI;;ZHANG YUE;;LIU JIA,Patent Application
CN201272236Y,CN,7/15/2009,2009,7/15/2008,CHERY AUTOMOBILE CO LTD,ZHANGXIANG LUO;;BO HUANG,,GUO HONG;;GE FEI;;ZHENG LIJUN;;LU JING;;GUO JIANGYAN;;XU ZHENG;;LI YANG;;YAN JIAYU;;WANG QING;;ZHU JUNLONG,Granted Patent
CN202902548U,CN,4/24/2013,2013,11/16/2012,GUANGDONG CHIGO HEATING & VENTILATION EQUIPMENT CO LTD,LI GUANG AN;;GAO DEFU,,GUANGFU SONG;;XIUGUO SUN;;AZILAITI;;DEFENG KONG,Granted Patent
CN202281432U,CN,6/20/2012,2012,10/11/2011,MCQUAY AIR CONDITIONER REFRIGERATION WUHAN CO LTD,LINBO ZHANG;;YI LUO,,WU HAIBO;;CUI XIAOMING;;LUO MINZHOU;;KANG MIAOMIAO;;WANG YONG;;ZHANG HUADONG,Granted Patent
CN202012902U,CN,10/19/2011,2011,12/22/2010,CHINA NAT PETROLEUM CORP;;LIAOHE PETROLEUM EXPLORATION,JIANG JUN;;FUDONG SUN;;SUHUA LI;;JINGCHUN DU;;TAO YIN;;YUNTING JIA;;NA ZHUO;;JUNFENG ZHAN;;XIJUN WANG;;WEIHONG JIN;;GUOGUANG YAN,,ZHANG WEIHUA;;ZHANG JIANZHONG;;HAN QINGLIN;;LANG XUQING;;LI JIANXIANG;;ZHOU JINGUANG,Granted Patent
CN201786349U,CN,04/06/2011,2011,7/29/2010,CHINA NAT OFFSHORE OIL CORP;;CNOOC RES CT;;UNIV CHINA PETROLEUM,BAOSHENG HE;;GANG LIU;;JIANLIANG ZHOU;;ZHIGUO LIU;;PINGSHUANG WANG;;YANFENG CAO,,QIAO XUEGUANG;;LI XULIN;;JIA ZHENAN,Granted Patent
CN203260177U,CN,10/30/2013,2013,4/24/2013,UNIV YANGTZE,YU HUAPING;;GUO MEI,,HAN YANSHENG;;WU CHUNMING;;LIANG ZHITAO;;ZHENG RUILI;;JIA XIAOWEI,Granted Patent
CN2487869Y,CN,4/24/2002,2002,9/29/2001,BASIN AND OIL POOL RES CT PETR,JIN ZHIJUN;;ZENG JIANHUI;;YIN CAN,,SHEN XIBO;;CHEN RUI;;XU KUN;;DING QUAN,Granted Patent
CN201697913U,CN,01/05/2011,2011,04/07/2010,CHINA NAT PETROLEUM CORP;;TUHA PETROLEUM EXPLORATION & DEV HEADQUARTER,YUCHUAN YIN;;ZHONGJIE SUN;;CHAO CHEN;;TAO WANG;;FENG SHI;;LUN LI;;HONGSHUANG ZHU,,JI HONG;;LIU WEIKANG;;YANG KE;;ZHAO SHUHUA,Granted Patent
CN203655573U,CN,6/18/2014,2014,1/14/2014,FUJIAN SITE MECHANICAL & ELECTRICAL TECHNOLOGY LTD LIABILITY COMPANY,ZHU WENJU;;CHEN JIANPENG;;LIN BINGKUN;;LIN PEIJI;;WU JIANSHI;;LING CHENGJI,,XUECHENG LIN;;LAN WANG;;SHUMIN LAN;;ZHANMIN WANG;;JIANMEI DUAN,Granted Patent
CN104316326A,CN,1/28/2015,2015,8/22/2014,CHINA NORTH IND GROUP CORP,ZHANG TANJUN;;ZHANG HUI;;ZHANG XINGGANG;;JIA ZHEN;;ZHANG JUN;;ZHANG YONGQING;;LI QUAN;;CHEN DONGFENG,,MA WEIJIA;;CHEN SHAOFENG,Patent Application
CN201025136Y,CN,2/20/2008,2008,05/11/2007,SICHUAN HONGGUANG AUTO MACHINE,CHUANLIANG XIAO;;DEZHENG ZHANG;;YINGCAI HUANG;;LIJUN WAN;;LONGNAN ZHENG,,ZENG QIANG,Granted Patent
CN101165387A,CN,4/23/2008,2008,10/21/2006,WUJIANG PUTIAN INST OF GENERAL,YOULIANG ZHU;;FENG LING,,ZHANG KUN,Patent Application
CN104879226A,CN,09/02/2015,2015,5/19/2015,UNIV GUIZHOU,JIA LIANG;;LI HUILIN;;FAN XINGGUANG;;CAO BO;;FAN FANG,,JIA ZHIBO;;WANG QUAN;;ZHANG WENXI;;CHEN LI;;DENG CONGWEI,Patent Application
CN208071299U,CN,11/09/2018,2018,1/18/2018,HUADIAN INTELLIGENT CONTROL BEIJING TECH CO LTD,JI HONGBO;;ZHANG YAOYANG,,LIU TAO;;TONG BAOSHUAI;;SUN GUANGSHUAI,Granted Patent
CN201133804Y,CN,10/15/2008,2008,12/07/2007,SHENGLI ADMIN SINOPEC DRILLING,DONGCHANG SUN;;YONGTAI SUN;;JIANPING LIU;;MENGJIA LIU;;JING SHI;;WEIXING LI;;XUECHUN CHEN,,WANG XUN;;WANG CHONG,Granted Patent
CN106645316A,CN,05/10/2017,2017,1/20/2017,UNIV LIAONING SHIHUA;;CHINA UNIV OF PETROLEUM (EAST CHINA),WU MING;;SUN DONGXU,,ZHANG XUANHAO;;ZHANG YONG;;PIAO JINHUI,Patent Application
CN1584289A,CN,2/23/2005,2005,5/31/2004,TALIMU PETROLEUM EXPLORATING D,AN WENHUA;;LUO FAQIAN;;YANG ZHONGFENG,"CHINA PETROLEUM CO., LTD. (2006-12-08)",ZHANG DONGZHI;;CHANG HONGYAN;;LIU JINGJING;;LIU RUNHUA,Patent Application
CN207937143U,CN,10/02/2018,2018,04/01/2018,CHEN GUANGLING,CHEN GUANGLING,,WANG ZHENGWEI;;GE ZHONGWEI,Granted Patent
CN2543068Y,CN,04/02/2003,2003,5/28/2002,DONGFANG PAINUO PETROLEUM TECH,CHEN MINGHUA;;ZHANG XIANGDONG;;SUI KEQIN,,LI YANG;;HUANG SHENGQUAN;;CHEN YANFEI,Granted Patent
CN203965088U,CN,11/26/2014,2014,4/16/2014,SHANDONG MICRO SENSOR PHOTONICS LTD,JIANG LONG;;LI LIANQING;;SUN JIANFENG;;LIU TONGYU,,HE JIAHUAN;;ZHOU KEMING;;LI NONG;;YANG YU;;XIAO FUSEN;;DUAN YONG;;CHEN HONGBIN;;ZOU CHUNYAN,Granted Patent
CN102080767A,CN,06/01/2011,2011,11/27/2009,UNIV LIAONING SHIHUA,BAODONG CHEN;;ZHEN PAN;;LONGSHE SHEN;;YONGFEI YAN;;TAIDONG JIN,,DIAO RUI;;SHANG XINMIN;;WANG YANGUANG;;RUI YONGJUN;;MIAO YONGKANG;;XU JINGHUA;;FENG YUPING;;HOU SHUANG,Patent Application
CN206920290U,CN,1/23/2018,2018,3/20/2017,UNIV SOUTHWEST PETROLEUM,FENG YAN;;CHEN XIAOFAN;;YUE PING;;LI ZHUANG;;LUO YANG,,HONG HONG;;ZHANG XIANGJING;;LIU JIE;;ZHANG YUCHUN;;GAO LEI;;LIU HUI;;WANG HONGLI;;GOU JINGWEI;;JIA TINGTING;;LI DAN;;CUI DAQING;;HAI XIANLIAN;;MU WEIWEI,Granted Patent
CN204457926U,CN,07/08/2015,2015,2/15/2015,SINO TRUK JINAN POWER CO LTD,XU HUANGLING;;FANG LINGYUN;;ZHOU LIUJUN;;YE YUNZHAN,,MENG QINGYI;;CUI XIAOXUAN;;MENG YU;;LIU RUJUN,Granted Patent
CN110440999A,CN,11/12/2019,2019,08/07/2019,CHINA NAT OFFSHORE OIL CORP;;BEIJING RES CENTER CNOOC CHINA CO LTD,LIU SHUJIE;;FAN JIANCHUN;;WEN MIN;;ZHANG XINGQUAN;;REN MEIPENG;;CAO YANFENG;;YANG XIANGQIAN;;HAN TING;;LIU XIANGHUA;;QIU HAO;;WANG BIN;;TIAN CHUNMENG,,LI HONG;;WANG YUHONG;;MA JUNHUI;;ZHOU XINGFEI;;LI ZHANPENG,Patent Application
CN207194843U,CN,04/06/2018,2018,09/07/2017,ZHEJIANG HENGANTAI PETROLEUM ENG CO LTD,MENG QINGYI;;CUI XIAOXUAN;;MENG YU;;LIU RUJUN,,YU DONGDONG;;LU WEILI,Granted Patent
CN201421346Y,CN,03/10/2010,2010,04/04/2009,WEIHAI BAOYUAN ELECTRICAL COMPANY LTD,YONG ZOU,,HE JIANGLIN;;LI ERGANG;;ZHENG ZENGYU,Granted Patent
CN105866359A,CN,8/17/2016,2016,04/04/2016,ZHEJIANG SCI-TECH UNIV,DAI YANYUN;;WANG LUJUAN;;WANG YING;;CHEN RONGQIANG,,YUJI ZHAO;;ZHIXIANG YUAN,Patent Application
CN201273182Y,CN,7/15/2009,2009,09/04/2008,FOURTH MACHINERY FACTORY OF SI,QINGZHEN MENG;;HONG LI;;CHUN QIAO;;BAODI ZHANG,"SJ PETROLEUM MACHINERY CO., SINOPEC (2014-12-31)",ZHANG XINGWU,Granted Patent
CN104162343A,CN,11/26/2014,2014,7/25/2014,STATE GRID CORP CHINA;;MA ANSHAN POWER SUPPLY CO OF STATE GRID ANHUI ELECTRIC POWER CO,HONG WENSHENG;;KE CHUNGEN;;HAN YUTING,,JING BING;;GONG JUN;;CHEN LIANG;;SUN ZHENHUA;;WANG CHANGPENG;;ZHANG BAIRUI;;CUI CHENGYONG;;ZHUANG HAIBIN;;LI ZITIAN;;ZHANG ZAIMING;;CHEN SHUAI,Patent Application
CN105134203A,CN,12/09/2015,2015,09/08/2015,DAQING HONGCE TECHNOLOGY SERVICE CO LTD,LI JINSONG;;YANG YUMENG;;XUE FENG,,XIAOZHONG CAO;;TIANLIANG XU,Patent Application
CN203990324U,CN,12/10/2014,2014,8/22/2014,UNIV XIAMEN,SHA YONG;;ZHOU DAOWEI,,SHA YONG;;ZHOU DAOWEI,Granted Patent
CN204533866U,CN,08/05/2015,2015,4/14/2015,ZHU HAIYING,ZHU HAIYING;;JU LI NA;;ZHANG LEI,,WU YEJUN;;ZHOU RUIFEN,Granted Patent
CN206546315U,CN,10/10/2017,2017,3/17/2017,UNIV SOUTHWEST PETROLEUM,LI ZHUANG;;CHEN XIAOFAN;;YUE PING;;FENG YAN,,LIBIN DAI;;YONGSHENG LI;;DONGBO SHAO;;JINLONG YANG;;JIANGUO YAO;;LIANLIAN ZHAO,Granted Patent
CN205045281U,CN,2/24/2016,2016,8/14/2015,UNIV CHINA PETROLEUM,LIU YANG;;BIAN JIANG,,NING CHENG;;WANG HAIYANG;;LUO QIYANG,Granted Patent
CN101539401A,CN,9/23/2009,2009,4/22/2009,UNIV DALIAN TECH,LIANJI WANG;;XUYUE WANG;;WENJI XU,,GANG TIAN;;ZHIHU BU;;ZONGYI WU,Patent Application
CN102688573A,CN,9/26/2012,2012,3/23/2011,XINGZHANG WANG,XINGZHANG WANG,,YI XU;;GUANZHENG LI;;LIMEI SONG;;QIONG SUN;;DAN LI;;BAOYI SHI,Patent Application
CN202885889U,CN,4/17/2013,2013,11/12/2012,NANJING TIANMO HIGH TECH CO LTD,TANG JINHUI,,XU DENG;;LEI YU;;CHEN YU;;XINGGUO WU;;MIN LI;;JINGDONG LI;;XIANFEI SHANG;;TAO SU;;HONGYU SUN;;XUBING KUANG;;YANG GAO;;CHENGYE WANG;;QINGYUN LIU;;LIANG TANG;;ZHAOGUO XU;;YONG MA;;SHAOLIANG SUN,Granted Patent
CN204899812U,CN,12/23/2015,2015,7/29/2015,GUANGZHOU DONGSU PETROLEUM D&E EQUIPMENT CO LTD,HE YINGYANG;;LIU MENGXIANG;;HE ZHIWEI;;LIN XIANGHUI;;HE RUNHUI;;ZHONG CHUPENG,,WANG WEILONG,Granted Patent
CN104234709A,CN,12/24/2014,2014,8/30/2014,XI AN JINGSHIXIN PETROLEUM TECHNOLOGY DEV CO LTD,MA JIANGUO;;QIN YANBIN;;HU CHANGLING;;DANG RUIRONG;;MA YONG;;GAO XIAOMENG;;BAI SHIMING;;WANG TIEZHU,,YU GANG;;LIANG XING;;WANG XIMING;;AN SHUJIE;;RAN ZENGLING;;ZHANG RENZHI;;XIA SHUJUN,Patent Application
CN201974240U,CN,9/14/2011,2011,07/06/2010,SHENYANG BANDAO ELECTRIC APPLIANCE METER CO LTD,YI XU;;GUANZHENG LI;;LIMEI SONG;;QIONG SUN;;DAN LI;;BAOYI SHI,,ZHIJIAN FAN;;ZHIWEI LIU;;BAOCHENG YAN;;WEI LI;;SHOUZHEN GUO;;XINPEI CHANG,Granted Patent
CN203560006U,CN,4/23/2014,2014,11/15/2013,NANJING CHINA RESOURCES GAS CO LTD,HONG BO,,ZHANG XIAODONG;;HAN DEYUAN;;HUANG LONGFEI;;LEI DAN,Granted Patent
CN205400691U,CN,7/27/2016,2016,03/09/2016,SHANGHAI PETROLEUM NATURAL GAS CO LTD,WANG WEILONG,,SUN NINGFENG;;KONG QINGHAO;;ZHANG CHUNGUANG;;MIAO KUN;;ZOU XIN;;WANG HAIJUN;;ZHUO RUIMING;;SONG QINGXI,Granted Patent
CN201803704U,CN,4/20/2011,2011,7/28/2010,PETROCHINA CO LTD,ZHANGZHONG WU;;YUNBIN MA;;JIANBIN HAO;;BING HAN;;HONGYUAN JING;;JIANPING LIU;;DONGJIE TAN;;YONGJUN CAI;;XILIANG YANG,,YING HUI,Granted Patent
CN203396535U,CN,1/15/2014,2014,08/05/2013,WUXI CHENGDIAN OPTICAL FIBER SENSING TECHNOLOGY CO LTD,FU TING;;GONG YUAN;;WU YU;;RAO YUNJIANG;;WU HUIJUAN,,LI XINQING;;HE YUNYONG,Granted Patent
CN204614346U,CN,09/02/2015,2015,3/19/2015,QINGDAO INST MARINE GEOLOGY,LI SHUANGLIN;;ZHANG DAOJIAN;;DONG HEPING;;ZHAO QINGFANG;;WANG HUIYAN;;WANG JIANQIANG;;ZHANG NIANLI;;RAN TAO,,JIA WANTING;;MIAO WEIJIE;;DAI LI;;LIU JIAMING,Granted Patent
CN203364500U,CN,12/25/2013,2013,6/13/2013,GUANGZHOU INST ENERGY CONV CAS;;GUANGDONG HENGJI METAL PRODUCT IND CO LTD,HE ZHAOHONG;;HUANG HONGYU;;DENG LISHENG;;YUAN HAORAN;;KOBAYASHI KEIKO;;CHEN YONG;;GUO HUAFANG;;HU MINGJUN;;SONG LINNA,,YANG DONGTING;;ZHANG XIAOLU;;ZHAO BIN,Granted Patent
CN2681030Y,CN,2/23/2005,2005,3/16/2004,WANG WEIPING,WANG WEIPING,,LI YINPING;;CHEN XIANGSHENG;;SHI XILIN;;YANG CHUNHE;;FENG ZHENG;;LIU WEI;;GE XINBO;;YIN HONGWU,Granted Patent
CN201007202Y,CN,1/16/2008,2008,6/28/2006,SICHUAN GREAT WALL ELECTRONIC,KEQIANG LU;;SUIZHOU SONG;;GUOBIN CHEN;;BINJUN YI,,CHANG GUANG;;HU TIEHUA;;LIU RUI;;LI YANG;;WANG MENGYAO;;ZHANG ZHIWEN;;OUYANG XI,Granted Patent
CN105888649A,CN,8/24/2016,2016,5/15/2015,UNIV CHINA PETROLEUM BEIJING,FANG JUN;;WANG YANBIN;;GAO DELI,,ZHOU JIDONG;;ZHANG HUALI;;WANG JINTAO;;GAO CHUN;;YIN YUPING;;LI SHENGFANG,Patent Application
CN104843004A,CN,8/19/2015,2015,6/14/2015,UNIV SHANDONG JIAOTONG,LI AIJUAN;;LI JIANYING;;QIU XUYUN;;WANG HUIJUN;;XU GANG;;XU CHUANYAN;;CAO FENGPING;;LIU YONGHUI,,DENG BO;;LIU HONGBING;;FANG CHENHUA,Patent Application
CN101603612A,CN,12/16/2009,2009,7/17/2009,UNIV HARBIN ENG,LIQUAN WANG;;CAIDONG WANG;;LAN ZHANG;;WENMING WANG;;MING LI;;JIANQIU WANG,,HE YIGANG;;WU WENJIE;;ZHANG HUI;;YIN BAIQIANG;;LI BING,Patent Application
CN207122414U,CN,3/20/2018,2018,7/28/2017,TIANJIN AIR COMPRESSOR CO LTD,ZHANG LIWEN,,SHI JIANGUO,Granted Patent
CN109540808A,CN,3/29/2019,2019,11/02/2018,UNIV HUNAN ARTS & SCIENCE,WANG NANLAN;;LI JIANQI;;YANG MINSHENG;;HUANG SHIFU;;CHEN HUIXI;;ZHANG XIANG,,ZHANG JINGFU;;LI WEI;;ZHANG CONG;;LI SIQI;;ZHANG DEBING;;ZHAO JINGRU,Patent Application
CN107764510A,CN,03/06/2018,2018,10/13/2017,INST ROCK & SOIL MECH CAS,LI YINPING;;CHEN XIANGSHENG;;SHI XILIN;;YANG CHUNHE;;FENG ZHENG;;LIU WEI;;GE XINBO;;YIN HONGWU,,WANG XINJING;;LI DEXUN;;JING SUOJIE,Patent Application
